1722676948,2024-08-03 11:22:28.702642,0
1722676972,2024-08-03 11:22:52.374621,0
1722677032,2024-08-03 11:23:52.380024,1
1722677092,2024-08-03 11:24:52.383357,2
1722677152,2024-08-03 11:25:52.384766,2
1722677212,2024-08-03 11:26:52.391921,2
1722677272,2024-08-03 11:27:52.402783,3
1722677332,2024-08-03 11:28:52.404113,3
1722677392,2024-08-03 11:29:52.408133,4
1722677452,2024-08-03 11:30:52.412126,4
1722677512,2024-08-03 11:31:52.415380,5
1722677572,2024-08-03 11:32:52.416778,5
1722677632,2024-08-03 11:33:52.420055,6
1722677692,2024-08-03 11:34:52.421710,7
1722677752,2024-08-03 11:35:52.424150,7
1722677812,2024-08-03 11:36:52.427137,11
1722677872,2024-08-03 11:37:52.431746,14
1722677932,2024-08-03 11:38:52.433243,19
1722677992,2024-08-03 11:39:52.434828,22
1722678052,2024-08-03 11:40:52.435612,28
1722678112,2024-08-03 11:41:52.439801,31
1722678172,2024-08-03 11:42:52.441273,36
1722678232,2024-08-03 11:43:52.444051,41
1722678292,2024-08-03 11:44:52.445053,47
1722678352,2024-08-03 11:45:52.446430,55
1722678412,2024-08-03 11:46:52.448183,64
1722678472,2024-08-03 11:47:52.450110,74
1722678532,2024-08-03 11:48:52.451298,83
1722678592,2024-08-03 11:49:52.455956,89
1722678652,2024-08-03 11:50:52.457009,107
1722678712,2024-08-03 11:51:52.458547,110
1722678772,2024-08-03 11:52:52.466962,119
1722678832,2024-08-03 11:53:52.468265,129
1722678892,2024-08-03 11:54:52.469022,135
1722678952,2024-08-03 11:55:52.470743,146
1722679012,2024-08-03 11:56:52.472735,153
1722679072,2024-08-03 11:57:52.473871,163
1722679132,2024-08-03 11:58:52.475821,167
1722679192,2024-08-03 11:59:52.477120,173
1722679252,2024-08-03 12:00:52.480062,181
1722679312,2024-08-03 12:01:52.481691,189
1722679372,2024-08-03 12:02:52.488126,194
1722679432,2024-08-03 12:03:52.489102,199
1722679492,2024-08-03 12:04:52.490085,207
1722679552,2024-08-03 12:05:52.491800,218
1722679612,2024-08-03 12:06:52.493269,227
1722679672,2024-08-03 12:07:52.496092,238
1722679732,2024-08-03 12:08:52.496728,250
1722679792,2024-08-03 12:09:52.498854,257
1722679852,2024-08-03 12:10:52.499314,262
1722679912,2024-08-03 12:11:52.500036,274
1722679972,2024-08-03 12:12:52.501374,284
1722680032,2024-08-03 12:13:52.503790,290
1722680092,2024-08-03 12:14:52.507366,300
1722680152,2024-08-03 12:15:52.510347,317
1722680212,2024-08-03 12:16:52.513159,324
1722680272,2024-08-03 12:17:52.514388,332
1722680332,2024-08-03 12:18:52.519413,346
1722680392,2024-08-03 12:19:52.521936,359
1722680452,2024-08-03 12:20:52.523937,365
1722680512,2024-08-03 12:21:52.524562,376
1722680572,2024-08-03 12:22:52.526244,386
1722680632,2024-08-03 12:23:52.528002,393
1722680692,2024-08-03 12:24:52.529226,398
1722680752,2024-08-03 12:25:52.530263,410
1722680812,2024-08-03 12:26:52.531695,416
1722680872,2024-08-03 12:27:52.536086,425
1722680932,2024-08-03 12:28:52.537976,442
1722680992,2024-08-03 12:29:52.539446,449
1722681052,2024-08-03 12:30:52.544243,455
1722681112,2024-08-03 12:31:52.547256,461
1722681172,2024-08-03 12:32:52.550517,471
1722681232,2024-08-03 12:33:52.552151,477
1722681292,2024-08-03 12:34:52.553245,484
1722681352,2024-08-03 12:35:52.554618,493
1722681412,2024-08-03 12:36:52.555943,505
1722681472,2024-08-03 12:37:52.559130,512
1722681532,2024-08-03 12:38:52.561904,520
1722681592,2024-08-03 12:39:52.563974,537
1722681652,2024-08-03 12:40:52.565581,546
1722681712,2024-08-03 12:41:52.567192,550
1722681772,2024-08-03 12:42:52.569770,561
1722681832,2024-08-03 12:43:52.571251,566
1722681892,2024-08-03 12:44:52.571975,571
1722681952,2024-08-03 12:45:52.573625,584
1722682012,2024-08-03 12:46:52.574888,601
1722682072,2024-08-03 12:47:52.576095,608
1722682132,2024-08-03 12:48:52.578719,616
1722682192,2024-08-03 12:49:52.580155,627
1722682252,2024-08-03 12:50:52.584046,638
1722682312,2024-08-03 12:51:52.585951,645
1722682372,2024-08-03 12:52:52.587480,660
1722682432,2024-08-03 12:53:52.592276,672
1722682492,2024-08-03 12:54:52.593174,677
1722682552,2024-08-03 12:55:52.595632,687
1722682612,2024-08-03 12:56:52.600140,697
1722682672,2024-08-03 12:57:52.601216,711
1722682732,2024-08-03 12:58:52.603501,730
1722682792,2024-08-03 12:59:52.605175,735
1722682852,2024-08-03 13:00:52.606392,744
1722682912,2024-08-03 13:01:52.607449,765
1722682972,2024-08-03 13:02:52.608029,773
1722683032,2024-08-03 13:03:52.609042,777
1722683092,2024-08-03 13:04:52.611932,788
1722683152,2024-08-03 13:05:52.612634,796
1722683212,2024-08-03 13:06:52.617141,805
1722683272,2024-08-03 13:07:52.618381,819
1722683332,2024-08-03 13:08:52.620165,827
1722683392,2024-08-03 13:09:52.621181,830
1722683452,2024-08-03 13:10:52.623483,842
1722683512,2024-08-03 13:11:52.624776,851
1722683572,2024-08-03 13:12:52.627235,858
1722683632,2024-08-03 13:13:52.628619,864
1722683692,2024-08-03 13:14:52.631197,884
1722683752,2024-08-03 13:15:52.632119,891
1722683812,2024-08-03 13:16:52.634441,900
1722683872,2024-08-03 13:17:52.636058,923
1722683932,2024-08-03 13:18:52.637237,929
1722683992,2024-08-03 13:19:52.638591,942
1722684052,2024-08-03 13:20:52.640733,949
1722684112,2024-08-03 13:21:52.641616,955
1722684172,2024-08-03 13:22:52.642299,967
1722684232,2024-08-03 13:23:52.643328,986
1722684292,2024-08-03 13:24:52.646024,992
1722684352,2024-08-03 13:25:52.646339,1003
1722684412,2024-08-03 13:26:52.649172,1017
1722684472,2024-08-03 13:27:52.650586,1024
1722684532,2024-08-03 13:28:52.652197,1036
1722684592,2024-08-03 13:29:52.653115,1049
1722684652,2024-08-03 13:30:52.655171,1054
1722684712,2024-08-03 13:31:52.657663,1060
1722684772,2024-08-03 13:32:52.658861,1071
